TIMESTAMP,TECHNOLOGIES,availabilityFactor
3752,Hydro Water Reservoir,0.9507557289127255
3752,Nuclear,0.6131316331379693
3753,Fossil Gas,0.8902153558052435
3753,Fossil Hard coal,0.36436436436436437
3753,Fossil Oil,0.5129606277147261
3753,Hydro Water Reservoir,0.9507557289127255
3753,Nuclear,0.6131316331379693
3754,Fossil Gas,0.8902153558052435
3754,Fossil Hard coal,0.36436436436436437
3754,Fossil Oil,0.5129606277147261
3754,Hydro Water Reservoir,0.9507557289127255
3754,Nuclear,0.6199429748138762
3755,Fossil Gas,0.8902153558052435
3755,Fossil Hard coal,0.36436436436436437
3755,Fossil Oil,0.5129606277147261
3755,Hydro Water Reservoir,0.9507557289127255
3755,Nuclear,0.6199429748138762
3756,Fossil Gas,0.8902153558052435
3756,Fossil Hard coal,0.36436436436436437
3756,Fossil Oil,0.5129606277147261
3756,Hydro Water Reservoir,0.9507557289127255
3756,Nuclear,0.6199429748138762
3757,Fossil Gas,0.8902153558052435
3757,Fossil Hard coal,0.36436436436436437
3757,Fossil Oil,0.5129606277147261
3757,Hydro Water Reservoir,0.9507557289127255
3757,Nuclear,0.6199429748138762
3758,Fossil Gas,0.8902153558052435
3758,Fossil Hard coal,0.36436436436436437
3758,Fossil Oil,0.5129606277147261
3758,Hydro Water Reservoir,0.9507557289127255
3758,Nuclear,0.6199429748138762
3759,Fossil Gas,0.8902153558052435
3759,Fossil Hard coal,0.36436436436436437
3759,Fossil Oil,0.5129606277147261
3759,Hydro Water Reservoir,0.9507557289127255
3759,Nuclear,0.6199429748138762
3760,Fossil Gas,0.8902153558052435
3760,Fossil Hard coal,0.36436436436436437
3760,Fossil Oil,0.5129606277147261
3760,Hydro Water Reservoir,0.9507557289127255
3760,Nuclear,0.6199429748138762
3761,Fossil Gas,0.8902153558052435
3761,Fossil Hard coal,0.36436436436436437
3761,Fossil Oil,0.5129606277147261
3761,Hydro Water Reservoir,0.9507557289127255
3761,Nuclear,0.6199429748138762
3762,Fossil Gas,0.8902153558052435
3762,Fossil Hard coal,0.36436436436436437
3762,Fossil Oil,0.5129606277147261
3762,Hydro Water Reservoir,0.9507557289127255
3762,Nuclear,0.6436242673847616
3763,Fossil Gas,0.8902153558052435
3763,Fossil Hard coal,0.36436436436436437
3763,Fossil Oil,0.5129606277147261
3763,Hydro Water Reservoir,0.9507557289127255
3763,Nuclear,0.6436242673847616
3764,Fossil Gas,0.8902153558052435
3764,Fossil Hard coal,0.36436436436436437
3764,Fossil Oil,0.5129606277147261
3764,Hydro Water Reservoir,0.9507557289127255
3764,Nuclear,0.6436242673847616
3765,Fossil Gas,0.8902153558052435
3765,Fossil Hard coal,0.36436436436436437
3765,Fossil Oil,0.5129606277147261
3765,Hydro Water Reservoir,0.9507557289127255
3765,Nuclear,0.6436242673847616
3766,Fossil Gas,0.8902153558052435
3766,Fossil Hard coal,0.36436436436436437
3766,Fossil Oil,0.5129606277147261
3766,Hydro Water Reservoir,0.9507557289127255
3766,Nuclear,0.6436242673847616
3767,Fossil Gas,0.8902153558052435
3767,Fossil Hard coal,0.36436436436436437
3767,Fossil Oil,0.5129606277147261
3767,Hydro Water Reservoir,0.9507557289127255
3767,Nuclear,0.6643750990020593
3768,Fossil Gas,0.8902153558052435
3768,Fossil Hard coal,0.36436436436436437
3768,Fossil Oil,0.5129606277147261
3768,Hydro Water Reservoir,0.9507557289127255
3768,Nuclear,0.691699667353081
3769,Fossil Gas,0.8902153558052435
3769,Fossil Hard coal,0.36436436436436437
3769,Fossil Oil,0.5129606277147261
3769,Hydro Water Reservoir,0.9507557289127255
3769,Nuclear,0.691699667353081
3770,Fossil Gas,0.8902153558052435
3770,Fossil Hard coal,0.36436436436436437
3770,Fossil Oil,0.5129606277147261
