AREAS,TIMESTAMP,TECHNOLOGIES,intercept_param,margin_param,margin,fuel_price_param,fuel_price,co2_price_param,co2_price,energy_param,p0,p1,energy,price_sim,price_obs,intercept
FR,6656,Nuclear,0,0,16.817999999999998,0,0.0,0.0,6.86375,0.01584032947885316,0.0,0.01584032947885316,39.43999967613908,39.09911606068557,60.52,1
FR,6657,Nuclear,0,0,17.891999999999996,0,0.0,0.0,6.8575,0.01584032947885316,0.0,0.01584032947885316,39.43999967613729,38.88312276785884,57.39,1
FR,6658,Nuclear,0,0,18.741,0,0.0,0.0,6.851249999999999,0.01584032947885316,0.0,0.01584032947885316,39.43999967612483,37.29459726423859,53.13,1
FR,6659,Nuclear,0,0,19.387999999999998,0,0.0,0.0,6.845,0.01584032947885316,0.0,0.01584032947885316,39.57499967427706,35.61046528787348,47.21,1
FR,6660,Nuclear,0,0,18.675000000000004,0,0.0,0.0,6.83875,0.01584032947885316,0.0,0.01584032947885316,39.5749996732441,34.9231778773617,44.17,1
FR,6661,Nuclear,0,0,20.271,0,0.0,0.0,6.8325,0.01584032947885316,0.0,0.01584032947885316,39.57499967013066,38.16665200806734,43.9,1
FR,6662,Nuclear,0,0,21.35,0,0.0,0.0,6.82625,0.01584032947885316,0.0,0.01584032947885316,39.57499967005329,38.89065669029025,45.19,1
FR,6663,Nuclear,0,0,21.472,0,0.0,0.0,6.819999999999999,0.01584032947885316,0.0,0.01584032947885316,39.574999670048875,37.216815830532816,45.68,1
FR,6664,Nuclear,0,0,21.917,0,0.0,0.0,6.81375,0.01584032947885316,0.0,0.01584032947885316,39.57499967003693,39.330926414600995,52.43,1
FR,6665,Nuclear,0,0,20.776000000000003,0,0.0,0.0,6.807499999999999,0.01584032947885316,0.0,0.01584032947885316,39.57499967020721,41.4979335755113,55.03,1
FR,6666,Nuclear,0,0,16.512000000000008,0,0.0,0.0,6.80125,0.01584032947885316,0.0,0.01584032947885316,39.96999967097668,44.77715944851382,61.96,1
FR,6667,Nuclear,0,0,13.716000000000008,0,0.0,0.0,6.795,0.01584032947885316,0.0,0.01584032947885316,39.969999671052086,38.75850203251737,62.07,1
FR,6668,Nuclear,0,0,17.338000000000008,0,0.0,0.0,6.788749999999999,0.01584032947885316,0.0,0.01584032947885316,39.969999671013326,38.64439467837466,52.99,1
FR,6669,Nuclear,0,0,20.451000000000008,0,0.0,0.0,6.7825,0.01584032947885316,0.0,0.01584032947885316,39.96999967086203,36.75524009083654,52.48,1
FR,6670,Nuclear,0,0,17.74200000000001,0,0.0,0.0,6.776249999999999,0.01584032947885316,0.0,0.01584032947885316,39.96999967012285,37.56042354717283,46.09,1
FR,6671,Nuclear,0,0,19.775000000000013,0,0.0,0.0,6.77,0.01584032947885316,0.0,0.01584032947885316,39.96999967061121,34.04778738718928,45.84,1
FR,6672,Nuclear,0,0,24.552000000000007,0,0.0,0.0,6.772083333333333,0.01584032947885316,0.0,0.01584032947885316,39.96999966611074,35.54091651899165,35.15,1
FR,6673,Nuclear,0,0,23.625999999999998,0,0.0,0.0,6.774166666666666,0.01584032947885316,0.0,0.01584032947885316,38.89499967583053,34.20141794394444,32.46,1
FR,6674,Nuclear,0,0,26.747,0,0.0,0.0,6.776249999999999,0.01584032947885316,0.0,0.01584032947885316,38.894998648781566,33.16773513317272,30.16,1
FR,6675,Nuclear,0,0,28.232999999999997,0,0.0,0.0,6.778333333333333,0.01584032947885316,0.0,0.01584032947885316,38.89499950643825,31.176767558066157,24.4,1
FR,6676,Nuclear,0,0,27.614999999999995,0,0.0,0.0,6.7804166666666665,0.01584032947885316,0.0,0.01584032947885316,38.89499963133253,32.99445422622414,33.48,1
